56,0.5432,0.2211,-0.6666,-0.5947,0.0921,0.5722,0.8537,0.4155,0.0349,0.8349,0.4095,0.0526,0.8688,2
64,0.4111,0.2362,-0.5576,-0.5959,0.0632,0.6129,0.9158,0.4334,0.0124,0.8274,0.4304,0.0516,0.8878,2
72,0.2382,0.2463,-0.3792,-0.5765,0.0376,0.6365,0.9612,0.4435,-0.0082,0.8246,0.4513,0.0506,0.9069,2
80,0.1036,0.2414,-0.2331,-0.5963,0.0111,0.6542,0.9840,0.4498,-0.0270,0.8192,0.4723,0.0496,0.9259,2
88,0.0038,0.2369,-0.1385,-0.6124,-0.0068,0.6593,0.9825,0.4514,-0.0445,0.8155,0.4932,0.0486,0.9450,2
0,-0.8669,0.8421,0.8382,-2.0918,-1.0482,2.1528,1.5826,0.5275,-0.0134,0.1084,0.5235,-0.0120,0.1090,2
8,-0.9468,0.8397,0.8695,-2.1613,-1.1393,2.2716,1.5806,0.5159,-0.0164,0.1111,0.4876,0.0038,0.1146,2
16,-1.0041,0.8153,0.8901,-2.2648,-1.2014,2.4009,1.6204,0.4901,-0.0035,0.1137,0.4517,0.0196,0.1202,2
24,-1.0432,0.7720,0.9132,-2.3766,-1.2472,2.4810,1.6814,0.4563,0.0148,0.1177,0.4158,0.0354,0.1259,2
32,-1.0749,0.7168,0.9405,-2.4840,-1.2870,2.5398,1.7534,0.4215,0.0322,0.1236,0.3799,0.0512,0.1315,2
40,-1.1021,0.6560,0.9733,-2.5865,-1.3239,2.5893,1.8324,0.3863,0.0490,0.1299,0.3441,0.0669,0.1371,2
48,-1.1264,0.5923,1.0140,-2.6841,-1.3583,2.6352,1.9169,0.3509,0.0655,0.1363,0.3082,0.0827,0.1428,2
56,-1.1495,0.5263,1.0660,-2.7766,-1.3890,2.6808,2.0065,0.3153,0.0820,0.1427,0.2723,0.0985,0.1484,2
64,-1.1413,0.5055,1.0745,-2.8157,-1.4190,2.7023,2.0727,0.2967,0.0908,0.1424,0.2966,0.0902,0.1333,2
72,-1.0860,0.5458,1.0083,-2.7976,-1.4993,2.6897,2.1325,0.2937,0.0917,0.1310,0.2880,0.0935,0.1144,2
80,-1.0267,0.6041,0.9370,-2.7763,-1.6059,2.6688,2.2165,0.2877,0.0939,0.1156,0.2793,0.0967,0.0954,2
